Card Id,Card Name,From Board Id,From Board Name,From List Id,From List Name,To Board Id,To Board Name,To List Id,To List Name,Timestamp,Remarks
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,null,null,null,null,2025-01-12T22:55:28.590Z,Created Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,2025-01-12T23:11:38.096Z,Move Card Board
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,2025-01-12T23:15:32.231Z,Move Card Board
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971c,Doing,2025-01-18T03:45:59.309Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971c,Doing,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971d,Done,2025-01-18T08:38:31.838Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971d,Done,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971c,Doing,2025-01-18T08:38:50.704Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971c,Doing,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971d,Done,2025-01-18T08:54:14.435Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971d,Done,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,2025-01-18T10:16:58.752Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971c,Doing,2025-01-18T10:18:32.902Z,Update Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,null,null,null,null,2025-01-12T22:55:28.590Z,Created Card
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,2025-01-12T23:11:38.096Z,Move Card Board
678448607c0c3cb9238a625a,hello!,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,6784485a4eab4508877d9714,Test-Board,6784485a4eab4508877d971b,To Do,2025-01-12T23:15:32.231Z,Move Card Board
